review_id,rating,date,author,content,raw_html,clean,tokens,categories,sent_score,date_parsed
                                        <div style=""width:1%"" class=""percentile  ""><span class=""blind"">전체 중 1% 비율</span></div> <!-- 가장 많은 별점을 받았을 경우 : highlighted 클래스 추가 --><!-- BTOCSITE-81509 [웹앱 접근성 개선활동] PDP - 일반, 케어용품/소모품, 가전구독, UP가전2.0 : 숨김 텍스트 추가-->
                                    </div>
                                </li>
                            
                        </ul>
                    </div>
                
                
                    <!-- 평가 항목 대상 카테고리가 아닌 경우 비노출 -->
                    <div class=""rv-grade-section"">
                        <span class=""tit"">다른 고객들은 이렇게 평가했어요!</span>
                        <ul class=""summary-wrap"">
                            
                                <li>
                                    <div class=""gauge"">
                                        <div style=""width:98%"" class=""percentile""></div>
                                        
                                        
                                        <p class=""summary"">성능이 좋아요</p>
                                        <span class=""percent"">98%</span>
                                    </div>
                                </li>
                            
                                <li>
                                    <div class=""gauge"">
                                        <div style=""width:98%"" class=""percentile""></div>
                                        
                                        
                                        <p class=""summary"">디자인이 뛰어나요</p>
                                        <span class=""percent"">98%</span>
                                    </div>
                                </li>
                            
                                <li>
                                    <div class=""gauge"">
                                        <div style=""width:98%"" class=""percentile""></div>
                                        
                                        
                                        <p class=""summary"">휴대성이 좋아요</p>
                                        <span class=""percent"">98%</span>
                                    </div>
                                </li>
                            
                        </ul>
                    </div>
                
            </div>

            
                <div class=""rv-write-wrap"">
                    
                        <p class=""txt"">구매 후 리뷰를 남겨 주시면 최대 <em>3,000 Point</em>를 드려요!</p>
                    
                    <!-- 사업자몰일 경우 노출 -->
                    
                    <button type=""button"" class=""btn-write"" onclick=""javascript:review.reviewFormPopup(this);"" data-model-id=""MD10521837"" data-review-id="""" data-review-path=""PDP""><span>리뷰 작성하기</span></button>
                </div>
            
            <div class=""rv-view-wrap"">
                

                
                    <div class=""rv-view-section"">
                        <div class=""rv-title-wrap"">
                            <h3 class=""rv-sub-title"">포토 &amp; 동영상 리뷰
                                
                                    
                                    
                                        <span><em class=""blind"">포토/동영상 리뷰 개수</em>(1,725)</span><!-- BTOCSITE-81509 [웹앱 접근성 개선활동] PDP - 일반, 케어용품/소모품, 가전구독, UP가전2.0 : 숨김텍스트 추가-->
                                    
                                
                            </h3>
                        </div>
                        <div class=""slide-wrap media-review__carousel"">
                            <div class=""slide-content ui_carousel_list"">
                                <div class=""slide-track ui_carousel_track"">
                                    
                                        <!-- slide -->
                                        <div class=""slide-conts ui_carousel_slide"">
                                            <a href=""#"" data-control=""modal"" class=""item"" onclick=""javascript:reviewLayer.reviewLayer(this)"" data-view-type=""photoVideo"" data-review-id=""451968"" data-model-id=""MD10521837"" title=""포토/동영상 리뷰 레이어 팝업 실행"" data-model-displayname=""LG 그램 Pro AI 40.6cm""><!-- BTOCSITE-81509 [웹앱 접근성 개선활동] PDP - 일반, 케어용품/소모품, 가전구독, UP가전2.0 : title 추가-->
                                                <div class=""thumb-wrap"">
                                                    
                                                        
                                                        
                                                            <div class=""thumb"">
                                                                <img loading=""lazy"" style=""object-fit: cover;"" src=""https://static.lge.co.kr/prod-mkt/itm/kr/upload/review/451968/20250818005616495_6a521608.jpeg?aw=1&amp;ah=1&amp;rw=132&amp;rh=132"" alt="""">
                                                            </div>
                                                            
                                                        
                                                    
                                                </div>
                                            </a>
                                        </div>
                                        <!-- //slide -->
                                    
                                        <!-- slide -->
                                        <div class=""slide-conts ui_carousel_slide"">
                                            <a href=""#"" data-control=""modal"" class=""item"" onclick=""javascript:reviewLayer.reviewLayer(this)"" data-view-type=""photoVideo"" data-review-id=""451832"" data-model-id=""MD10521837"" title=""포토/동영상 리뷰 레이어 팝업 실행"" data-model-displayname=""LG 그램 Pro AI 40.6cm""><!-- BTOCSITE-81509 [웹앱 접근성 개선활동] PDP - 일반, 케어용품/소모품, 가전구독, UP가전2.0 : title 추가-->
                                                <div class=""thumb-wrap"">
                                                    
                                                        
                                                        
                                                            <div class=""thumb"">
                                                                <img loading=""lazy"" style=""object-fit: cover;"" src=""https://static.lge.co.kr/prod-mkt/itm/kr/upload/review/451832/20250817223632381_3297500b.jpeg?aw=1&amp;ah=1&amp;rw=132&amp;rh=132"" alt="""">
                                                            </div>
                                                            
                                                        
                                                    
                                                </div>
                                            </a>
                                        </div>
                                        <!-- //slide -->
                                    
                                        <!-- slide -->
                                        <div class=""slide-conts ui_carousel_slide"">
                                            <a href=""#"" data-control=""modal"" class=""item"" onclick=""javascript:reviewLayer.reviewLayer(this)"" data-view-type=""photoVideo"" data-review-id=""451789"" data-model-id=""MD10521837"" title=""포토/동영상 리뷰 레이어 팝업 실행"" data-model-displayname=""LG 그램 Pro AI 40.6cm""><!-- BTOCSITE-81509 [웹앱 접근성 개선활동] PDP - 일반, 케어용품/소모품, 가전구독, UP가전2.0 : title 추가-->
                                                <div class=""thumb-wrap"">
                                                    
                                                        
                                                        
                                                            <div class=""thumb"">
                                                                <img loading=""lazy"" style=""object-fit: cover;"" src=""https://static.lge.co.kr/prod-mkt/itm/kr/upload/review/451789/20250817221155081_370f2227.jpg?aw=1&amp;ah=1&amp;rw=132&amp;rh=132"" alt="""">
                                                            </div>
                                                            
                                                        
                                                    
                                                </div>
                                            </a>
                                        </div>
