rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord,currency,year
20160330003806,11011,2015,00401731,066570,OFS,재무제표,BS,재무상태표,이익잉여금,제 14 기,2015.12.31 현재,"5,046,104,000,000",제 13 기,2014.12.31 현재,"5,550,942,000,000",제 12 기,2013.12.31 현재,"5,857,083,000,000",19,KRW,2015
20160330003806,11011,2015,00401731,066570,OFS,재무제표,BS,재무상태표,자본총계,제 14 기,2015.12.31 현재,"8,961,009,000,000",제 13 기,2014.12.31 현재,"9,488,700,000,000",제 12 기,2013.12.31 현재,"9,832,820,000,000",22,KRW,2015
20160330003806,11011,2015,00401731,066570,OFS,재무제표,IS,손익계산서,매출액,제 14 기,2015.01.01 ~ 2015.12.31,"28,368,428,000,000",제 13 기,2014.01.01 ~ 2014.12.31,"29,556,368,000,000",제 12 기,2013.01.01 ~ 2013.12.31,"27,095,564,000,000",24,KRW,2015
20160330003806,11011,2015,00401731,066570,OFS,재무제표,IS,손익계산서,영업이익,제 14 기,2015.01.01 ~ 2015.12.31,"-17,537,000,000",제 13 기,2014.01.01 ~ 2014.12.31,"301,324,000,000",제 12 기,2013.01.01 ~ 2013.12.31,"-248,760,000,000",26,KRW,2015
20160330003806,11011,2015,00401731,066570,OFS,재무제표,IS,손익계산서,법인세차감전 순이익,제 14 기,2015.01.01 ~ 2015.12.31,"-265,823,000,000",제 13 기,2014.01.01 ~ 2014.12.31,"19,803,000,000",제 12 기,2013.01.01 ~ 2013.12.31,"-245,362,000,000",28,KRW,2015
20160330003806,11011,2015,00401731,066570,OFS,재무제표,IS,손익계산서,당기순이익,제 14 기,2015.01.01 ~ 2015.12.31,"-355,839,000,000",제 13 기,2014.01.01 ~ 2014.12.31,"-154,453,000,000",제 12 기,2013.01.01 ~ 2013.12.31,"-189,077,000,000",30,KRW,2015
20160330003806,11011,2015,00401731,066570,OFS,재무제표,IS,손익계산서,당기순이익(손실),제 14 기,2015.01.01 ~ 2015.12.31,"-355,839,000,000",제 13 기,2014.01.01 ~ 2014.12.31,"-154,453,000,000",제 12 기,2013.01.01 ~ 2013.12.31,"-189,077,000,000",62,KRW,2015
20170331003661,11011,2016,00401731,066570,CFS,연결재무제표,BS,재무상태표,유동자산,제 15 기,2016.12.31 현재,"16,990,563,000,000",제 14 기,2015.12.31 현재,"16,397,613,000,000",제 13 기,2014.12.31 현재,"17,482,698,000,000",1,KRW,2016
20170331003661,11011,2016,00401731,066570,CFS,연결재무제표,BS,재무상태표,비유동자산,제 15 기,2016.12.31 현재,"20,864,706,000,000",제 14 기,2015.12.31 현재,"19,916,283,000,000",제 13 기,2014.12.31 현재,"19,585,722,000,000",3,KRW,2016
20170331003661,11011,2016,00401731,066570,CFS,연결재무제표,BS,재무상태표,자산총계,제 15 기,2016.12.31 현재,"37,855,269,000,000",제 14 기,2015.12.31 현재,"36,313,896,000,000",제 13 기,2014.12.31 현재,"37,068,420,000,000",5,KRW,2016
20170331003661,11011,2016,00401731,066570,CFS,연결재무제표,BS,재무상태표,유동부채,제 15 기,2016.12.31 현재,"15,744,364,000,000",제 14 기,2015.12.31 현재,"14,772,763,000,000",제 13 기,2014.12.31 현재,"15,672,706,000,000",7,KRW,2016
20170331003661,11011,2016,00401731,066570,CFS,연결재무제표,BS,재무상태표,비유동부채,제 15 기,2016.12.31 현재,"8,754,163,000,000",제 14 기,2015.12.31 현재,"8,557,646,000,000",제 13 기,2014.12.31 현재,"8,404,617,000,000",9,KRW,2016
20170331003661,11011,2016,00401731,066570,CFS,연결재무제표,BS,재무상태표,부채총계,제 15 기,2016.12.31 현재,"24,498,527,000,000",제 14 기,2015.12.31 현재,"23,330,409,000,000",제 13 기,2014.12.31 현재,"24,077,323,000,000",11,KRW,2016
20170331003661,11011,2016,00401731,066570,CFS,연결재무제표,BS,재무상태표,자본총계,제 15 기,2016.12.31 현재,"13,356,742,000,000",제 14 기,2015.12.31 현재,"12,983,487,000,000",제 13 기,2014.12.31 현재,"12,991,097,000,000",21,KRW,2016
20170331003661,11011,2016,00401731,066570,CFS,연결재무제표,IS,손익계산서,매출액,제 15 기,2016.01.01 ~ 2016.12.31,"55,367,033,000,000",제 14 기,2015.01.01 ~ 2015.12.31,"56,509,008,000,000",제 13 기,2014.01.01 ~ 2014.12.31,"59,040,767,000,000",23,KRW,2016
20170331003661,11011,2016,00401731,066570,CFS,연결재무제표,IS,손익계산서,영업이익,제 15 기,2016.01.01 ~ 2016.12.31,"1,337,763,000,000",제 14 기,2015.01.01 ~ 2015.12.31,"1,192,291,000,000",제 13 기,2014.01.01 ~ 2014.12.31,"1,828,557,000,000",25,KRW,2016
20170331003661,11011,2016,00401731,066570,CFS,연결재무제표,IS,손익계산서,법인세차감전 순이익,제 15 기,2016.01.01 ~ 2016.12.31,"721,717,000,000",제 14 기,2015.01.01 ~ 2015.12.31,"593,125,000,000",제 13 기,2014.01.01 ~ 2014.12.31,"1,218,270,000,000",27,KRW,2016
20170331003661,11011,2016,00401731,066570,CFS,연결재무제표,IS,손익계산서,당기순이익,제 15 기,2016.01.01 ~ 2016.12.31,"126,315,000,000",제 14 기,2015.01.01 ~ 2015.12.31,"249,143,000,000",제 13 기,2014.01.01 ~ 2014.12.31,"501,357,000,000",29,KRW,2016
20170331003661,11011,2016,00401731,066570,CFS,연결재무제표,IS,손익계산서,당기순이익(손실),제 15 기,2016.01.01 ~ 2016.12.31,"126,315,000,000",제 14 기,2015.01.01 ~ 2015.12.31,"249,143,000,000",제 13 기,2014.01.01 ~ 2014.12.31,"501,357,000,000",61,KRW,2016
20170331003661,11011,2016,00401731,066570,OFS,재무제표,BS,재무상태표,유동자산,제 15 기,2016.12.31 현재,"8,311,565,000,000",제 14 기,2015.12.31 현재,"8,268,810,000,000",제 13 기,2014.12.31 현재,"8,934,379,000,000",2,KRW,2016
20170331003661,11011,2016,00401731,066570,OFS,재무제표,BS,재무상태표,비유동자산,제 15 기,2016.12.31 현재,"18,287,510,000,000",제 14 기,2015.12.31 현재,"17,597,565,000,000",제 13 기,2014.12.31 현재,"17,347,934,000,000",4,KRW,2016
20170331003661,11011,2016,00401731,066570,OFS,재무제표,BS,재무상태표,자산총계,제 15 기,2016.12.31 현재,"26,599,075,000,000",제 14 기,2015.12.31 현재,"25,866,375,000,000",제 13 기,2014.12.31 현재,"26,282,313,000,000",6,KRW,2016
20170331003661,11011,2016,00401731,066570,OFS,재무제표,BS,재무상태표,유동부채,제 15 기,2016.12.31 현재,"10,543,126,000,000",제 14 기,2015.12.31 현재,"9,743,462,000,000",제 13 기,2014.12.31 현재,"9,959,738,000,000",8,KRW,2016
20170331003661,11011,2016,00401731,066570,OFS,재무제표,BS,재무상태표,비유동부채,제 15 기,2016.12.31 현재,"7,290,497,000,000",제 14 기,2015.12.31 현재,"7,161,904,000,000",제 13 기,2014.12.31 현재,"6,833,875,000,000",10,KRW,2016
20170331003661,11011,2016,00401731,066570,OFS,재무제표,BS,재무상태표,부채총계,제 15 기,2016.12.31 현재,"17,833,623,000,000",제 14 기,2015.12.31 현재,"16,905,366,000,000",제 13 기,2014.12.31 현재,"16,793,613,000,000",12,KRW,2016
20170331003661,11011,2016,00401731,066570,OFS,재무제표,BS,재무상태표,자본금,제 15 기,2016.12.31 현재,"904,169,000,000",제 14 기,2015.12.31 현재,"904,169,000,000",제 13 기,2014.12.31 현재,"904,169,000,000",15,KRW,2016
20170331003661,11011,2016,00401731,066570,OFS,재무제표,BS,재무상태표,이익잉여금,제 15 기,2016.12.31 현재,"4,851,573,000,000",제 14 기,2015.12.31 현재,"5,046,104,000,000",제 13 기,2014.12.31 현재,"5,550,942,000,000",19,KRW,2016
20170331003661,11011,2016,00401731,066570,OFS,재무제표,BS,재무상태표,자본총계,제 15 기,2016.12.31 현재,"8,765,452,000,000",제 14 기,2015.12.31 현재,"8,961,009,000,000",제 13 기,2014.12.31 현재,"9,488,700,000,000",22,KRW,2016
20170331003661,11011,2016,00401731,066570,OFS,재무제표,IS,손익계산서,매출액,제 15 기,2016.01.01 ~ 2016.12.31,"28,743,246,000,000",제 14 기,2015.01.01 ~ 2015.12.31,"28,368,428,000,000",제 13 기,2014.01.01 ~ 2014.12.31,"29,556,368,000,000",24,KRW,2016
20170331003661,11011,2016,00401731,066570,OFS,재무제표,IS,손익계산서,영업이익,제 15 기,2016.01.01 ~ 2016.12.31,"-290,455,000,000",제 14 기,2015.01.01 ~ 2015.12.31,"-17,537,000,000",제 13 기,2014.01.01 ~ 2014.12.31,"301,324,000,000",26,KRW,2016
20170331003661,11011,2016,00401731,066570,OFS,재무제표,IS,손익계산서,법인세차감전 순이익,제 15 기,2016.01.01 ~ 2016.12.31,"-174,220,000,000",제 14 기,2015.01.01 ~ 2015.12.31,"-265,823,000,000",제 13 기,2014.01.01 ~ 2014.12.31,"19,803,000,000",28,KRW,2016
20170331003661,11011,2016,00401731,066570,OFS,재무제표,IS,손익계산서,당기순이익,제 15 기,2016.01.01 ~ 2016.12.31,"-276,487,000,000",제 14 기,2015.01.01 ~ 2015.12.31,"-355,839,000,000",제 13 기,2014.01.01 ~ 2014.12.31,"-154,453,000,000",30,KRW,2016
20170331003661,11011,2016,00401731,066570,OFS,재무제표,IS,손익계산서,당기순이익(손실),제 15 기,2016.01.01 ~ 2016.12.31,"-276,487,000,000",제 14 기,2015.01.01 ~ 2015.12.31,"-355,839,000,000",제 13 기,2014.01.01 ~ 2014.12.31,"-154,453,000,000",62,KRW,2016
20180402003670,11011,2017,00401731,066570,CFS,연결재무제표,BS,재무상태표,유동자산,제 16 기,2017.12.31 현재,"19,194,969,000,000",제 15 기,2016.12.31 현재,"16,990,563,000,000",제 14 기,2015.12.31 현재,"16,397,613,000,000",1,KRW,2017
20180402003670,11011,2017,00401731,066570,CFS,연결재무제표,BS,재무상태표,비유동자산,제 16 기,2017.12.31 현재,"22,025,990,000,000",제 15 기,2016.12.31 현재,"20,864,706,000,000",제 14 기,2015.12.31 현재,"19,916,283,000,000",3,KRW,2017
20180402003670,11011,2017,00401731,066570,CFS,연결재무제표,BS,재무상태표,자산총계,제 16 기,2017.12.31 현재,"41,220,959,000,000",제 15 기,2016.12.31 현재,"37,855,269,000,000",제 14 기,2015.12.31 현재,"36,313,896,000,000",5,KRW,2017
20180402003670,11011,2017,00401731,066570,CFS,연결재무제표,BS,재무상태표,유동부채,제 16 기,2017.12.31 현재,"17,536,470,000,000",제 15 기,2016.12.31 현재,"15,744,364,000,000",제 14 기,2015.12.31 현재,"14,772,763,000,000",7,KRW,2017
20180402003670,11011,2017,00401731,066570,CFS,연결재무제표,BS,재무상태표,비유동부채,제 16 기,2017.12.31 현재,"9,010,805,000,000",제 15 기,2016.12.31 현재,"8,754,163,000,000",제 14 기,2015.12.31 현재,"8,557,646,000,000",9,KRW,2017
20180402003670,11011,2017,00401731,066570,CFS,연결재무제표,BS,재무상태표,부채총계,제 16 기,2017.12.31 현재,"26,547,275,000,000",제 15 기,2016.12.31 현재,"24,498,527,000,000",제 14 기,2015.12.31 현재,"23,330,409,000,000",11,KRW,2017
20180402003670,11011,2017,00401731,066570,CFS,연결재무제표,BS,재무상태표,자본금,제 16 기,2017.12.31 현재,"904,169,000,000",제 15 기,2016.12.31 현재,"904,169,000,000",제 14 기,2015.12.31 현재,"904,169,000,000",13,KRW,2017
20180402003670,11011,2017,00401731,066570,CFS,연결재무제표,BS,재무상태표,이익잉여금,제 16 기,2017.12.31 현재,"10,964,155,000,000",제 15 기,2016.12.31 현재,"9,233,416,000,000",제 14 기,2015.12.31 현재,"9,016,546,000,000",17,KRW,2017
20180402003670,11011,2017,00401731,066570,CFS,연결재무제표,BS,재무상태표,자본총계,제 16 기,2017.12.31 현재,"14,673,684,000,000",제 15 기,2016.12.31 현재,"13,356,742,000,000",제 14 기,2015.12.31 현재,"12,983,487,000,000",21,KRW,2017
20180402003670,11011,2017,00401731,066570,CFS,연결재무제표,IS,손익계산서,매출액,제 16 기,2017.01.01 ~ 2017.12.31,"61,396,284,000,000",제 15 기,2016.01.01 ~ 2016.12.31,"55,367,033,000,000",제 14 기,2015.01.01 ~ 2015.12.31,"56,509,008,000,000",23,KRW,2017
20180402003670,11011,2017,00401731,066570,CFS,연결재무제표,IS,손익계산서,영업이익,제 16 기,2017.01.01 ~ 2017.12.31,"2,468,549,000,000",제 15 기,2016.01.01 ~ 2016.12.31,"1,337,763,000,000",제 14 기,2015.01.01 ~ 2015.12.31,"1,192,291,000,000",25,KRW,2017
20180402003670,11011,2017,00401731,066570,CFS,연결재무제표,IS,손익계산서,법인세차감전 순이익,제 16 기,2017.01.01 ~ 2017.12.31,"2,558,112,000,000",제 15 기,2016.01.01 ~ 2016.12.31,"721,717,000,000",제 14 기,2015.01.01 ~ 2015.12.31,"593,125,000,000",27,KRW,2017
