term,count,share
나는,408,0.00692570148189642
노트북,280,0.004752932389536759
때문에,205,0.00347982549948227
노트북을,204,0.00346285074094821
배터리,160,0.0027159613654495767
내가,146,0.0024783147459727386
많이,131,0.002223693367961841
다른,129,0.002189743850893721
좋은,129,0.002189743850893721
같은,123,0.002087895299689362
것을,121,0.0020539457826212423
노트북이,115,0.0019520972314168831
것이,110,0.0018672234387465839
있는,107,0.0018162991631444042
가지고,105,0.0017823496460762846
새로운,102,0.001731425370474105
rtx,101,0.0017144506119400453
다시,101,0.0017144506119400453
사용할,100,0.0016974758534059854
많은,98,0.0016635263363378656
동안,98,0.0016635263363378656
가장,98,0.0016635263363378656
것입니다,97,0.0016465515778038057
없습니다,95,0.001612602060735686
수있는,93,0.0015786525436675663
키보드,90,0.0015277282680653868
가벼운,88,0.001493778750997267
나은,86,0.0014598292339291473
맥북,86,0.0014598292339291473
함께,85,0.0014428544753950876
조금,84,0.0014258797168610277
위해,83,0.0014089049583269678
또는,83,0.0014089049583269678
16인치,82,0.001391930199792908
모든,81,0.001374955441258848
약간,80,0.0013579806827247883
있지만,79,0.0013410059241907284
화면,79,0.0013410059241907284
것은,77,0.0013070564071226086
대해,77,0.0013070564071226086
ssd,74,0.0012561321315204292
삼성,74,0.0012561321315204292
usb,73,0.0012391573729863693
macbook,72,0.0012221826144523094
대한,71,0.0012052078559182495
거의,69,0.00117125833885013
lenovo,68,0.00115428358031607
게임,67,0.0011373088217820101
있습니까,66,0.0011203340632479502
사실,64,0.0010863845461798307
정도,63,0.0010694097876457708
문제는,63,0.0010694097876457708
lg그램,62,0.0010524350291117109
노트북은,62,0.0010524350291117109
같습니다,62,0.0010524350291117109
않습니다,61,0.001035460270577651
배터리가,61,0.001035460270577651
하고,61,0.001035460270577651
내돈내산,60,0.001018485512043591
현재,60,0.001018485512043591
인텔,60,0.001018485512043591
화면이,59,0.0010015107535095314
윈도우,59,0.0010015107535095314
있어서,58,0.0009845359949754715
이제,58,0.0009845359949754715
그래픽,58,0.0009845359949754715
문제가,58,0.0009845359949754715
없어서,58,0.0009845359949754715
있으며,57,0.0009675612364414116
크게,56,0.0009505864779073517
들고,55,0.0009336117193732919
사용하고,55,0.0009336117193732919
인치,54,0.000916636960839232
그것은,54,0.000916636960839232
훨씬,54,0.000916636960839232
확실히,54,0.000916636960839232
시간,53,0.0008996622023051723
이상,52,0.0008826874437711124
있고,52,0.0008826874437711124
게임을,52,0.0008826874437711124
그래서,52,0.0008826874437711124
원래,52,0.0008826874437711124
사진,51,0.0008657126852370525
legion,50,0.0008487379267029927
터치,49,0.0008317631681689328
바로,49,0.0008317631681689328
windows,48,0.000814788409634873
하나,48,0.000814788409634873
쓰는,48,0.000814788409634873
엄청,48,0.000814788409634873
전에,48,0.000814788409634873
여러,47,0.0007978136511008131
여전히,47,0.0007978136511008131
노트북에,47,0.0007978136511008131
할인,47,0.0007978136511008131
쓰고,47,0.0007978136511008131
이런,46,0.0007808388925667532
ram,46,0.0007808388925667532
있기,46,0.0007808388925667532
asus,46,0.0007808388925667532
ultra,46,0.0007808388925667532
가볍고,46,0.0007808388925667532
아주,46,0.0007808388925667532
않고,46,0.0007808388925667532
32gb,45,0.0007638641340326934
정도로,45,0.0007638641340326934
작업을,45,0.0007638641340326934
마우스,45,0.0007638641340326934
16gb,44,0.0007468893754986335
코어,44,0.0007468893754986335
추천도,44,0.0007468893754986335
일이,43,0.0007299146169645736
없이,43,0.0007299146169645736
일부,43,0.0007299146169645736
물론,42,0.0007129398584305138
최대,42,0.0007129398584305138
실제로,42,0.0007129398584305138
모두,41,0.000695965099896454
기본,41,0.000695965099896454
성능,41,0.000695965099896454
생각이,41,0.000695965099896454
좋습니다,40,0.0006789903413623942
않은,40,0.0006789903413623942
전혀,40,0.0006789903413623942
엘지,40,0.0006789903413623942
그래도,40,0.0006789903413623942
근데,40,0.0006789903413623942
않지만,39,0.0006620155828283343
디스플레이,39,0.0006620155828283343
14인치,39,0.0006620155828283343
그렇게,39,0.0006620155828283343
이것은,39,0.0006620155828283343
1tb,38,0.0006450408242942744
숫자,38,0.0006450408242942744
나에게,38,0.0006450408242942744
보고,38,0.0006450408242942744
lg전자,38,0.0006450408242942744
이렇게,38,0.0006450408242942744
갤럭시,38,0.0006450408242942744
주로,37,0.0006280660657602146
intel,37,0.0006280660657602146
충전기,37,0.0006280660657602146
알고,37,0.0006280660657602146
zephyrus,37,0.0006280660657602146
모니터,37,0.0006280660657602146
그것을,37,0.0006280660657602146
전체,37,0.0006280660657602146
amd,37,0.0006280660657602146
이게,36,0.0006110913072261547
해서,36,0.0006110913072261547
내장,36,0.0006110913072261547
생각합니다,36,0.0006110913072261547
처음,36,0.0006110913072261547
oled,36,0.0006110913072261547
512gb,35,0.0005941165486920949
문제,35,0.0005941165486920949
일단,35,0.0005941165486920949
수도,35,0.0005941165486920949
ninkear,35,0.0005941165486920949
a15,35,0.0005941165486920949
집에,35,0.0005941165486920949
것으로,35,0.0005941165486920949
통해,35,0.0005941165486920949
맥북은,35,0.0005941165486920949
들었습니다,35,0.0005941165486920949
가격이,34,0.000577141790158035
지금,34,0.000577141790158035
추천,34,0.000577141790158035
얇고,34,0.000577141790158035
무거운,34,0.000577141790158035
찾고,34,0.000577141790158035
얻을,34,0.000577141790158035
그런데,34,0.000577141790158035
쓰던,34,0.000577141790158035
노트북의,34,0.000577141790158035
cpu,34,0.000577141790158035
보입니다,34,0.000577141790158035
굉장히,34,0.000577141790158035
저는,33,0.0005601670316239751
ai,33,0.0005601670316239751
따로,33,0.0005601670316239751
보니,33,0.0005601670316239751
쉽게,33,0.0005601670316239751
성능을,33,0.0005601670316239751
아니라,33,0.0005601670316239751
좋다고,33,0.0005601670316239751
모델은,33,0.0005601670316239751
것처럼,33,0.0005601670316239751
가지,33,0.0005601670316239751
제품을,33,0.0005601670316239751
느낌이,33,0.0005601670316239751
했는데,33,0.0005601670316239751
어떤,32,0.0005431922730899153
있는지,32,0.0005431922730899153
주요,32,0.0005431922730899153
않았습니다,32,0.0005431922730899153
작업,32,0.0005431922730899153
없는,32,0.0005431922730899153
있다고,32,0.0005431922730899153
이건,32,0.0005431922730899153
계속,32,0.0005431922730899153
있다면,32,0.0005431922730899153
저렴한,31,0.0005262175145558554
사용합니다,31,0.0005262175145558554
맥북을,31,0.0005262175145558554
사용한,31,0.0005262175145558554
성능과,31,0.0005262175145558554
아무래도,30,0.0005092427560217955
비디오,30,0.0005092427560217955
문제를,30,0.0005092427560217955
데스크탑,30,0.0005092427560217955
확장,30,0.0005092427560217955
nvme,30,0.0005092427560217955
core,30,0.0005092427560217955
같아요,30,0.0005092427560217955
생각보다,30,0.0005092427560217955
아니면,29,0.0004922679974877358
확실하지,29,0.0004922679974877358
pro를,29,0.0004922679974877358
싶습니다,29,0.0004922679974877358
17인치,29,0.0004922679974877358
테스트,29,0.0004922679974877358
acer,29,0.0004922679974877358
않는,29,0.0004922679974877358
필요합니다,28,0.00047529323895367586
차이가,28,0.00047529323895367586
프로세서,28,0.00047529323895367586
구입했습니다,28,0.00047529323895367586
용량,28,0.00047529323895367586
이미,28,0.00047529323895367586
pc,28,0.00047529323895367586
역시,28,0.00047529323895367586
구매한,28,0.00047529323895367586
뭔가,28,0.00047529323895367586
노트북도,28,0.00047529323895367586
좋다,28,0.00047529323895367586
안녕하세요,27,0.000458318480419616
끔찍한,27,0.000458318480419616
직접,27,0.000458318480419616
gb,27,0.000458318480419616
까다로운,27,0.000458318480419616
그램은,27,0.000458318480419616
실제,27,0.000458318480419616
사양은,27,0.000458318480419616
느낌,27,0.000458318480419616
구매할,27,0.000458318480419616
그런,27,0.000458318480419616
되는,27,0.000458318480419616
오래,26,0.0004413437218855562
들어,26,0.0004413437218855562
같이,26,0.0004413437218855562
것도,26,0.0004413437218855562
문서,26,0.0004413437218855562
256gb,26,0.0004413437218855562
일반,26,0.0004413437218855562
나름,26,0.0004413437218855562
최고의,26,0.0004413437218855562
비해,26,0.0004413437218855562
화면을,26,0.0004413437218855562
프로그램을,26,0.0004413437218855562
그램이,26,0.0004413437218855562
가격,26,0.0004413437218855562
보았습니다,26,0.0004413437218855562
오피스,26,0.0004413437218855562
적당한,26,0.0004413437218855562
장점,25,0.00042436896335149634
자주,25,0.00042436896335149634
가치가,25,0.00042436896335149634
home,25,0.00042436896335149634
같아서,25,0.00042436896335149634
특정,25,0.00042436896335149634
때까지,25,0.00042436896335149634
추가,25,0.00042436896335149634
가성비,25,0.00042436896335149634
대부분의,25,0.00042436896335149634
경우,25,0.00042436896335149634
프로그램,25,0.00042436896335149634
카드,25,0.00042436896335149634
제공합니다,25,0.00042436896335149634
있으면,24,0.0004073942048174365
맘에,24,0.0004073942048174365
창이,24,0.0004073942048174365
개의,24,0.0004073942048174365
있었고,24,0.0004073942048174365
그램의,24,0.0004073942048174365
디자인,24,0.0004073942048174365
기타,24,0.0004073942048174365
m4,24,0.0004073942048174365
그램을,24,0.0004073942048174365
아닌,24,0.0004073942048174365
있었는데,24,0.0004073942048174365
아직,24,0.0004073942048174365
마우스가,24,0.0004073942048174365
유일한,24,0.0004073942048174365
라는,24,0.0004073942048174365
작은,24,0.0004073942048174365
수명,24,0.0004073942048174365
ryzen,24,0.0004073942048174365
스피커,23,0.0003904194462833766
시리즈,23,0.0003904194462833766
노트북으로,23,0.0003904194462833766
dell,23,0.0003904194462833766
수행,23,0.0003904194462833766
온라인,23,0.0003904194462833766
빌드,23,0.0003904194462833766
하는데,23,0.0003904194462833766
다음,23,0.0003904194462833766
그것이,23,0.0003904194462833766
없으므로,23,0.0003904194462833766
있는데,23,0.0003904194462833766
열심히,23,0.0003904194462833766
때문입니다,23,0.0003904194462833766
소리가,23,0.0003904194462833766
새로,23,0.0003904194462833766
무게는,22,0.00037344468774931676
기능,22,0.00037344468774931676
용량이,22,0.00037344468774931676
기능을,22,0.00037344468774931676
합리적인,22,0.00037344468774931676
모르겠습니다,22,0.00037344468774931676
크기,22,0.00037344468774931676
번째,22,0.00037344468774931676
필요한,22,0.00037344468774931676
사용하기,22,0.00037344468774931676
1월,22,0.00037344468774931676
워낙,22,0.00037344468774931676
낮은,22,0.00037344468774931676
스타일,22,0.00037344468774931676
원합니다,22,0.00037344468774931676
g16,21,0.0003564699292152569
구매하는,21,0.0003564699292152569
번째는,21,0.0003564699292152569
하나를,21,0.0003564699292152569
편집,21,0.0003564699292152569
한컴오피스,21,0.0003564699292152569
응용,21,0.0003564699292152569
수명이,21,0.0003564699292152569
이는,21,0.0003564699292152569
않을,21,0.0003564699292152569
프로세서가,21,0.0003564699292152569
메모리,21,0.0003564699292152569
i5,21,0.0003564699292152569
무게가,21,0.0003564699292152569
사용자,21,0.0003564699292152569
멀티,21,0.0003564699292152569
모델이,21,0.0003564699292152569
노트북과,21,0.0003564699292152569
충분히,21,0.0003564699292152569
싶었습니다,21,0.0003564699292152569
슬롯,20,0.0003394951706811971
없고,20,0.0003394951706811971
하루,20,0.0003394951706811971
iris,20,0.0003394951706811971
여러분,20,0.0003394951706811971
지난,20,0.0003394951706811971
예산은,20,0.0003394951706811971
_na,20,0.0003394951706811971
모니터를,20,0.0003394951706811971
